location,composite_score,extraction_f1,extraction_precision,extraction_recall,role_agreement,parent_attribution_accuracy,primary_category_agreement,financial_instrument_agreement,secondary_category_agreement,plus_one_coverage,matched_count,unmatched_extracted_count,unmatched_ground_truth_count,Mitigation_score,Mitigation_recall,Mitigation_fpr,Adaptation_score,Adaptation_recall,Adaptation_fpr,Resource_Efficiency_score,Resource_Efficiency_recall,Resource_Efficiency_fpr,Nature_Based_Solutions_score,Nature_Based_Solutions_recall,Nature_Based_Solutions_fpr
Austin_US,0.2379,0.0451,0.0295,0.0957,0.3226,0.069,0.6452,0.6989,0.0,0.0957,93,212,1,-0.7522,0.0968,0.9732,-0.6429,0.0,1.0,-0.75,0.0,1.0,-0.5238,0.15,0.9211
Chicago_US,0.2156,0.0211,0.0121,0.082,0.1633,0.0,0.7143,0.8776,0.0,0.082,49,365,12,-0.9101,0.0889,0.9865,-0.8125,0.0,1.0,-1.0,1.0,1.0,-0.6667,1.0,1.0
Dakar_SN,0.59,0.4615,0.3333,0.75,0.3571,1.0,0.6429,1.0,0.0,0.75,14,22,2,-0.5,0.6667,0.8125,0.2308,0.8889,0.4545,-1.0,0.0,0.8571,0.0,1.0,0.0
Geneva_CH,0.65,0.125,0.0667,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,14,0,-0.7143,1.0,0.8571,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
Hiroshima_JP,0.2788,0.0,0.0,0.0,0.1538,1.0,0.5385,1.0,0.0,0.0,13,19,1,-0.5417,0.0,1.0,0.0,1.0,0.0,-0.8571,0.0,1.0,-1.0,1.0,1.0
Kuwait_KW,0.7859,0.7731,0.7667,0.7797,0.9818,0.5714,0.8182,0.8727,0.0,0.7797,55,5,4,1.0,1.0,0.0,0.4375,0.7209,0.2857,1.0,1.0,0.0,0.7143,0.8571,0.0
Miami_Dade_US,0.5526,0.3273,0.2169,0.6667,0.88,1.0,0.48,1.0,0.0,0.6667,25,58,2,-0.3333,0.619,0.8387,0.0,1.0,0.0,-0.9412,1.0,0.8085,0.3333,0.8,0.2
Portugal_PT,0.4436,0.0741,0.0714,0.0769,0.75,1.0,0.75,0.75,0.0,0.0769,4,10,9,-0.75,0.0,1.0,-0.8889,0.0,0.9,1.0,1.0,0.0,0.0,1.0,0.0
Seattle_US,0.4911,0.0714,0.0417,0.25,1.0,1.0,0.75,0.5,0.0,0.25,4,20,0,-0.8333,0.25,0.9412,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.0
