location,composite_score,extraction_f1,extraction_precision,extraction_recall,role_agreement,parent_attribution_accuracy,primary_category_agreement,financial_instrument_agreement,secondary_category_agreement,plus_one_coverage,matched_count,unmatched_extracted_count,unmatched_ground_truth_count,Mitigation_score,Mitigation_recall,Mitigation_fpr,Adaptation_score,Adaptation_recall,Adaptation_fpr,Resource_Efficiency_score,Resource_Efficiency_recall,Resource_Efficiency_fpr,Nature_Based_Solutions_score,Nature_Based_Solutions_recall,Nature_Based_Solutions_fpr
Austin_US,0.647,0.4479,0.4388,0.4574,1.0,1.0,0.6882,0.8602,0.0,0.4574,93,5,1,0.3333,0.4355,0.5682,0.3333,0.3333,1.0,0.4286,0.6667,0.6061,0.5,0.5,0.45
Chicago_US,0.789,0.7132,0.6765,0.7541,1.0,0.9348,0.7458,0.9153,0.0,0.7541,59,9,2,0.5098,0.7556,0.375,0.5625,0.7333,0.25,-1.0,1.0,0.2667,1.0,1.0,0.0
Dakar_SN,0.5208,0.3099,0.2,0.6875,0.75,0.75,0.5625,0.9375,0.0,0.6875,16,39,0,-0.25,1.0,0.8462,-0.6,0.4444,0.9091,-0.8182,1.0,0.625,-1.0,1.0,0.75
Geneva_CH,0.6421,0.1053,0.0556,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,17,0,-0.8,1.0,0.9,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
Hiroshima_JP,0.4433,0.1707,0.1029,0.5,0.2,1.0,0.7,1.0,0.0,0.5,10,58,4,-0.5946,0.5385,0.8333,-1.0,1.0,1.0,-1.0,0.0,0.9,-1.0,1.0,1.0
Kuwait_KW,0.3665,0.0163,0.0156,0.0169,0.5,0.8333,0.7667,0.6667,0.0,0.0169,30,34,29,-1.0,0.0,1.0,-0.6271,0.0,1.0,-0.9412,0.0,1.0,-0.7,0.1429,0.75
Miami_Dade_US,0.547,0.2657,0.1638,0.7037,0.7778,1.0,0.5926,0.963,0.0,0.7037,27,89,0,-0.4576,0.6667,0.8542,-1.0,1.0,1.0,-0.9355,1.0,0.8095,-0.64,0.8,0.84
Portugal_PT,0.602,0.303,0.1887,0.7692,1.0,1.0,0.6154,0.9231,0.0,0.7692,13,40,0,1.0,1.0,0.5,-0.5714,0.7273,0.8462,-0.6667,1.0,0.8333,-1.0,1.0,0.6667
Seattle_US,0.51,0.15,0.0833,0.75,1.0,1.0,0.5,0.75,0.0,0.75,4,32,0,-0.5333,0.75,0.9231,0.0,1.0,0.0,-1.0,1.0,0.913,0.0,1.0,0.0
